NO,Temp_Key,Temp_Category,Temp_Section,Temp_Content_KR,Temp_Content_JP,Temp_Date
11,Temp_common_event_sales_upcoming,기본,이벤트 / 판매 예정,"문의하신 내용에 대해 안내드립니다.
이번에는 문의하시느라 번거로움을 끼쳐 대단히 죄송합니다.

문의하신 건과 관련하여, 공식 Twitter/공식 사이트(등 타이틀 상황에 맞춰 공식적으로 발신하는 채널명 기재) 및 게임 내 공지사항에 게재되지 않은 정보나 향후 일정 등에 대해서는 개별 안내가 어려워,
이와 같은 형태의 답변이 되는 점 이해와 양해 부탁드립니다.

또한, 안내는 공식 Twitter/공식 사이트(등 타이틀 상황에 맞춰 공식적으로 발신하는 채널명 기재) 및 게임 내 공지사항에서 확인하실 수 있으니,
향후 게임 플레이에 참고가 되시길 바랍니다.

또한, 게임 플레이 중에 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.","お問い合わせいただいた内容つきまして、ご案内いたします。
この度はお問い合わせのお手数をおかけして大変申し訳ございません。

お問い合わせの件に関しまして、公式Twitter/公式サイト(등 타이틀 상황에 맞춰 공적으로 발신하는 채널명 기재)及びゲーム内のお知らせに掲載されていない情報や今後の予定等については、個別のご案内が難しく、
このような形の回答となりますことを何卒ご理解、ご了承いただきますようお願い申し上げます。

なお、ご案内は公式Twitter/公式サイト(등 타이틀 상황에 맞춰 공적으로 발신하는 채널명 기재)及びゲーム内のお知らせにてご確認いただけますので、
今後のゲームプレイの際にお役に立てれば幸いでございます。

また、ゲームプレイ中、/にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。",2024.12.03
12,Temp_common_event_schedule_inquiry,기본,이벤트 개최 일정 관련 문의,"문의 주셔서 대단히 감사합니다.

문의하신 'XX' 건과 관련하여,
대단히 죄송하지만, 모든 고객님들께 공평한 게임 환경을 제공하기 위해, 고객님께 개별 안내가 어려워,
이와 같은 형태의 답변이 되는 점 이해와 양해 부탁드립니다.

하지만, 고객님께서 주신 '요청 건의사항 등 문의 내용에 맞게'에 대한
의견과 요청사항은 담당 부서에 전달하여 신중히 검토하도록 하겠습니다.

'이벤트명'/이벤트/캠페인(또는 원문에 맞추기)의 상세 내용이 결정되는 대로,
공식 사이트(/타이틀에 맞추기) 및 게임 내 공지사항을 통해 안내해 드리도록 하겠으니,
기대해 주시면 감사하겠습니다.

의향에 맞는 안내를 드리지 못해 대단히 죄송하지만,
너그러운 양해 부탁드립니다.

이 외에도 궁금하신 점이 있으시면,
언제든지 고객센터로 문의해 주시기 바랍니다.","この度はお問い合わせいただき、誠にありがとうございます。

お問い合わせいただきました「」の件につきまして、
大変恐れ入りますが、すべてのお客様への公平なゲーム環境のご提供のため、お客様への個別のご案内が難しく、
このような形の回答となりますことを何卒ご理解、ご了承いただきますようお願い申し上げます。

しかしながら、お客様からいただいた「요청 건의사항 등 문의 내용에 맞게」の
ご意見・ご要望につきましては、担当部署に伝え、慎重に検討いたします。

「이벤트명」/イベント/キャンペーン(또는 원문에 맞추기)の詳細が決まり次第、
公式サイト(/타이틀에 맟추기)及びゲーム内お知らせにてご案内いたしますので、
楽しみにしていただければと存じます。

ご意向に沿ったご案内とならず、大変恐縮ではございますが、
何卒よろしくお願い申し上げます。

この他、ご不明な点がございましたら、
お気軽にサポートセンターまでお問い合せくださいませ。",2024.12.03
13,Temp_common_error_compensation_excluded,기본,오류 보상 대상 외,"본 건과 관련하여, 보상이 지급되지 않았다고 하셔서,
고객님께서는 매우 안타까운 심정이실 것 같습니다.

평소 저희 게임을 이용해 주시는 고객님께 이와 같은 안내를 드리게 되어 대단히 죄송하지만,
'1/6(금)에 반환 작업(/처리)'이 정상적으로 이루어진 고객님의 경우는 대상에서 제외되어,
이 점 너그러운 양해 부탁드립니다.

또한, 게임 플레이 중에 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.","本件に関して、お詫びが配布されなかったとのことで、
お客様におかれましては非常に残念な思いをされているかと存じます。

日頃よりご愛顧いただいているお客様へこのようなご案内となってしまい大変恐縮ではございますが、
「1/6(金)に返却作業(/処理)」が正常に行われたお客様の場合は対象外となっておりますので、
何卒ご了承いただきますようお願い申し上げます。

また、ゲームプレイ中、/にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。",2024.12.03
14,Temp_common_no_response,기본,미대응,"대단히 죄송하지만, 본 고객센터에서는
'XX' 관련 문의만 처리하고 있습니다.
문의하신 내용은 아래 주소로 연락 부탁드립니다.

▼'LoadComplete Contact'
contact@loadcomplete.com

번거로움을 끼쳐 대단히 죄송하지만,
협조 부탁드립니다.","大変恐れ入りますが、当サポートセンターでは、
「」につきましてのお問い合わせのみ対応しております。
お問い合わせの内容につきましては、下記のアドレスまでご連絡いただきますようお願い申し上げます。

▼「LoadComplete Contact」
contact@loadcomplete.com

お手数をおかけして大変申し訳ございませんが、
何卒、ご協力のほどよろしくお願いいたします。",2024.12.03
15,Temp_common_no_response_2,기본,미대응 2,"문의 주셔서 대단히 감사합니다.
'XX' 고객센터입니다.

문의하신 내용은
본 창구에서는 접수하지 않습니다.

죄송하지만, 아래 주소로 연락 부탁드립니다.

[고객센터 링크]

번거로움을 끼쳐 대단히 죄송하지만,
협조 부탁드립니다.","お問い合わせいただき誠にありがとうございます。
「」サポートセンターでございます。

いただいたお問い合わせの内容につきましては、
本窓口では受け付けておりません。

大変恐れ入りますが、下記のアドレスまでご連絡いただきますようお願い申し上げます。

[고객센터 링크]

お手数をおかけして大変申し訳ございませんが、
何卒ご協力のほどよろしくお願いいたします。",2024.12.03
16,Temp_common_suggestion_1,건의사항,건의사항 1,"소중한 의견 주셔서 대단히 감사합니다.

보내주신 'XX'에 대한 의견은
담당 부서에 보고하였습니다.
향후 개발에 신중히 검토하도록 하겠습니다.

죄송하지만, 기능의 수정이나 구현에는 다양한 요소를 고려하여
신중한 협의와 검토를 거쳐야 하므로,
본 메일로 요청사항 실현에 대한 약속은 드리기 어려운 점
미리 양해 부탁드립니다.

고객님의 의견을 소중히 여기며 운영하도록 하겠으니,
다른 문의사항이 있으시면 언제든 연락 부탁드립니다.","この度は貴重なご意見、誠にありがとうございます。
 
お送りいただいた「」についてのご意見は、
担当部署に報告いたしました。
今後の開発に慎重に検討いたします。
 
恐れながら、機能の改修や実装には様々な要素を考慮したうえで
慎重に協議・検討を重ねる必要がございますため、
本メールをもってご要望の実現に関するお約束はできかねますことを、
予めご了承くださいませ。
 
お客様のお声を大切にして運営してまいりますので、
また何かございましたらお気軽にご連絡くださいませ。",2024.12.03
17,Temp_common_suggestion_2,건의사항,건의사항 2,"문의 주셔서 대단히 감사합니다.

보내주신 의견은 하나하나 담당 부서에 전달하여 검토하도록 하겠습니다.

다만, 시스템상의 반영 상황 등을 확인해야 하므로,
요청하신 내용이 반영되기까지 시간이 걸리거나 반영이 어려울 수 있는 점
양해 부탁드립니다.

또한, 게임의 개선사항이나 수정사항이 있을 경우 공지사항을 통해 안내해 드리도록 하겠으니,
참고해 주시면 감사하겠습니다.

그 외에도 궁금하신 점이 있으시면,
언제든지 고객센터로 문의해 주시기 바랍니다.","この度はお問い合わせいただき、誠にありがとうございます。

お送りいただいたご意見については一つ一つ担当部署に伝え、検討いたします。

但し、システム上の反映状況等のご確認が必要となるため、
ご要望の内容が反映されるまで時間がかかる場合や反映が難しい場合もありますので、
ご了承いただきたく、何卒よろしくお願いいたします。

また、ゲームの改善点や修正がある場合、お知らせにてご案内いたしますので、
ご参考にしていただければ幸いでございます。
 
その他、何かご不明点等ございましたら、
いつでもサポートセンターまでご連絡いただきますようお願い申し上げます。",2024.12.03
18,Temp_common_error_improvement,오류,오류 개선,"이번에는 불편을 끼쳐드려 대단히 죄송합니다.

보내주신 '앱이 간헐적으로 멈추는 오류'에 대해서는
담당 부서에 보고하여 확인을 요청했습니다.

순차적으로 조사를 진행하고 있어 개선 완료까지 다소 시간이 걸릴 수 있습니다.
깊이 양해 부탁드립니다.

신속한 개선이 이루어지지 못해 죄송합니다.
안정적인 게임 환경을 위해 최선을 다하겠습니다.","この度は、ご不便をおかけしまして大変申し訳ございません。 
お送りいただいた「断続的にアプリがフリーズする不具合」につきましては 
担当部署に報告し、確認を要請いたしました。 

順次調査を行なっておりますので、改善完了まで多少の時間がかかる場合がございます。 
何卒、ご了承いただきますようお願い申し上げます。 

早速の改善ができず、申し訳ございません。 
安定的なゲーム環境のために最善を尽くしてまいります。 ",2024.12.03
19,Temp_common_error_improvement_2,오류,오류 개선2,"문의하신 내용에 대해 안내드립니다.

이번에는 불편을 끼쳐드려 대단히 죄송합니다.
보내주신 건에 대해서는 담당 부서에 보고하여 문제가 확인된 경우 개선 및 반영하도록 하겠습니다.

순차적으로 조사를 진행하고 있어 문제 파악까지 다소 시간이 걸릴 수 있음을 
미리 양해 부탁드립니다.

또한 해당 현상이 발생한 대략적인 시간대와
스크린샷/동영상 등의 상세 정보와 함께 문의해 주시면
보다 신속한 조사가 가능하오니 향후 참고해 주시면 감사하겠습니다.

안정적인 게임 환경을 위해 최선을 다하겠습니다.","お問い合わせいただいた内容つきまして、ご案内いたします。
 
この度は、ご不便をおかけしまして大変申し訳ございません。
お送りいただいた件につきましては担当部署に報告し、問題が確認された場合は改善及び反映いたします。
 
順次調査を行っておりますので、問題の把握まで多少の時間がかかる場合がございますことを
予めご了承いただきますようお願い申し上げます。
 
なお、該当の現象が起きたおおよその時間帯、
スクリーンショット/動画等の詳細とともにお問い合わせいただけますと、
より迅速に調査ができますので、今後の参考にしていただければ幸いです。

安定的なゲーム環境のために最善を尽くしてまいります。",2024.12.03
20,Temp_common_error_checking,오류,오류 확인 중,"이번에는 불편을 끼쳐드려 대단히 죄송합니다.

보내주신 ''에 대해서는
현재 담당 부서에서 확인 작업을 진행하고 있습니다.

순차적으로 조사를 진행하고 있어 개선 완료까지 다소 시간이 걸릴 수 있습니다.
신속한 개선이 이루어지지 못해 죄송하지만
깊이 양해 부탁드립니다.

안정적인 게임 환경을 위해 최선을 다하겠습니다.","この度は、ご不便をおかけしまして大変申し訳ございません。

お送りいただいた「」につきましては、
現在担当部署にて確認作業を行っております。
 
順次調査を行なっておりますので、改善完了まで多少の時間がかかる場合がございます。
早速の改善ができず、申し訳ございませんが、
何卒、ご了承いただきますようお願い申し上げます。
 
安定的なゲーム環境のために最善を尽くしてまいります。",2024.12.03
21,Temp_common_error_delay,오류,오류 지연,"연락이 늦어져 대단히 죄송합니다.

문의하신 ''건에 대해서는
현재 담당 부서에서 조사를 진행하고 있으나
원인 파악에 다소 시간이 필요한 상황입니다.

안내까지 오래 기다리게 해드려 불편을 끼쳐드려 죄송합니다.

신속한 안내가 될 수 있도록 노력하겠으니
깊은 양해 부탁드립니다.

담당 부서에서 답변을 받는 대로 다시 연락드리겠으니
잠시만 기다려주시기 바랍니다.","ご連絡が遅くなってしまい、大変申し訳ございません。

お問い合わせいただきました「」の件につきまして、
現在担当部署にて調査を行っておりますが、
原因把握に多少時間を要しております。

ご案内まで長らくお待たせしておりまして、ご迷惑をお掛けし、申し訳ございません。

迅速にご案内できるように努めてまいりますので、
何卒ご了承のほど、よろしくお願いいたします。

担当部署からの回答をもらい次第、再度ご連絡いたしますので、
今しばらくお待ちいただきますようお願い申し上げます。",2024.12.03
22,Temp_common_error_fix_scheduled,오류,오류 수정 예정,"연락이 늦어져 죄송합니다.

문의하신 '기습의 표시'건에 대해서는
담당 부서에서 해당 현상을 확인한 결과
(오류 내용)의 오류가 발생하고 있음/있었음을 확인했습니다.

해당 현상에 대해서는 조사 및 수정을 진행할/실시할 예정입니다.

게임의 개선점이나 수정사항이 있을 경우 공지를 통해 안내드리오니
참고해 주시면 감사하겠습니다.

게임 이용에 불편을 끼쳐드려 진심으로 죄송합니다.

앞으로도 보다 쾌적한 게임 환경 제공을 위해 노력하겠습니다.","ご連絡が遅くなり申し訳ございません。

お問い合わせいただきました「奇襲の表示」の件につきまして、
担当部署にて該当の現象を確認したところ、
(오류 내용)の不具合が発生している/していたことを確認いたしました。

該当の現象につきましては、調査及び修正を行う/実施する予定でございます。

ゲームの改善点や修正がある場合、お知らせにてご案内いたしますので、
ご参考にしていただければ幸いでございます。

ゲームのご利用にご不便をおかけしてしまい、誠に申し訳ございません。

引き続き、より快適なゲーム環境の提供に努めてまいります。",2024.12.03
23,Temp_common_error_fix_complete,오류,오류 개선 완료,"이번에는 불편을 끼쳐드려 대단히 죄송합니다.

문의하신 '섬 탐색 오류'건에 대해서는
'10/26(수) 업데이트(/점검) 이후'에 발생한
섬 탐색 임무 내용이 정상적으로 표시되지 않는 오류에 대한 수정을 완료했습니다.

이 현상에 대해서는 최신 버전을 설치하시면 해결되오니
각 스토어에서 최신 버전으로 업데이트를 부탁드립니다.

본 현상으로 인해 불편과 불만을 끼쳐드린 점에 대해
다시 한번 깊이 사과드립니다.

기타 불편한 점이 있으시다면
언제든지 고객센터로 문의해 주시기 바랍니다.","この度は、ご不便をおかけしまして大変申し訳ございません。

お問い合わせいただきました「島探索の不具合」の件につきまして、
「10/26(水)アップデート(/メンテナンス)以降」に発生した
島探索任務の内容が正常に表示されない不具合の修正を行いました。

こちら現象につきましては、最新バージョンをインストールしていただくと解消されますので、
各ストアにて最新バージョンへの更新をお願いいたします。

本現象により、ご不便、ご迷惑をおかけしましたことを
重ねて深くお詫び申し上げます。

その他、ご不便なところ/点がございましたら、
いつでもサポートセンターまでお問い合せくださいませ。",2024.12.03
24,Temp_common_error_fix_complete_2,오류,오류 개선 완료 2,"이번에는 불편을 끼쳐드려 대단히 죄송합니다.

문의하신 '섬 탐색 오류'건에 대해서는
'10/26(수) 업데이트(/점검) 이후'에 발생한
섬 탐색 임무 내용이 정상적으로 표시되지 않는 오류에 대한 수정을 완료했습니다.

이 현상에 대해서는 최신 버전을 설치하시면 해결되오니
각 스토어에서 최신 버전으로 업데이트를 부탁드립니다.

본 현상으로 인해 불편과 불만을 끼쳐드린 점에 대해
다시 한번 깊이 사과드립니다.

기타 불편한 점이 있으시다면
언제든지 고객센터로 문의해 주시기 바랍니다.","この度はご不便をおかけし大変申し訳ございません。

お問い合わせいただきました「島探索の不具合」の件につきまして、
「10/26(水)アップデート(/メンテナンス)以降」に発生した
島探索任務の内容が正常に表示されない不具合の修正を行いました。

こちら現象につきましては、最新バージョンをインストールしていただくと解消されますので、
各ストアにて最新バージョンへの更新をお願いいたします。

本現象により、ご不便、ご迷惑をおかけしましたことを
重ねて深くお詫び申し上げます。

その他、ご不便なところ/点がございましたら、
いつでもサポートセンターまでお問い合せくださいませ。",2024.12.03
25,Temp_common_troubleshooting,오류,트러블 슈팅,"이번에는 불편을 끼쳐드려 대단히 죄송합니다.

서버 지연이나 네트워크 환경으로 인해 일시적으로 발생할 수 있으니
번거로우시겠지만 트러블슈팅으로
통신 상태가 좋은 전파가 안정적인 곳에서 아래 사항을 시도해 주시겠습니까?

■iOS의 경우
①단말기 설정에서 'App 삭제' 후 'App Store'에서 재다운로드
②단말기 재시작
③앱 완전 삭제 후 재설치
※계정 데이터 소실 방지를 위해 사전에 계정 연동을 부탁드립니다.

■Android의 경우  
①단말기 설정에서 '앱' → 'Google Play 스토어' → '저장소' → '캐시 삭제'
②단말기 재시작
③앱 완전 삭제 후 재설치
※계정 데이터 소실 방지를 위해 사전에 계정 연동을 부탁드립니다.

①~③의 단계를 시도하셔도 여전히 오류가 있는 경우
유저 ID와 오류 화면의 스크린샷 등을
고객센터로 다시 보내주시기 바랍니다.

번거로움을 끼쳐드려 죄송합니다.

앞으로도 쾌적한 게임 환경을 제공할 수 있도록 최선을 다하겠습니다.","この度は、ご不便をおかけしまして大変申し訳ございません。
 
サーバー遅延やネットワーク環境によって一時的に発生する可能性もございますので
お手数ですが、トラブルシューティングとして、
通信状況の良い電波の安定した場所にて、下記のことを試していただけますでしょうか。
 
■iOSの場合
①端末内設定にて「App を削除」してから、「App Store」から再ダウンロードする
②端末を再起動してみる
③アプリを一旦アンインストール後、再インストールする
※アカウントデータの消失防止のため、事前にアカウント連携をお願い申し上げます。
 
■Androidの場合
①端末内設定にて「アプリ」→「Google Play ストア」→「ストレージ」→「キャッシュを消去」
②端末を再起動してみる
③アプリを一旦アンインストール後、再インストールする
※アカウントデータの消失防止のため、事前にアカウント連携をお願い申し上げます。
 
①～③のステップをお試しいただいても、なお不具合が残る場合、
ユーザーID、エラー画面のスクリーンショット等を
サポートセンターまで再度お送りいただきますようお願い申し上げます。
 
お手数をおかけしてしまい、申し訳ございません。
 
これからも快適なゲーム環境を提供できるよう、最善を尽くしてまいります。",2024.12.03
26,Temp_common_ad_error,오류,광고 오류,"이번에는 불편을 끼쳐드려 진심으로 죄송합니다.

문의하신 '광고 재생 불가・광고 시청이 반영되지 않는 현상'에 대해서는
담당 부서에 보고하여 문제가 확인된 경우 개선 및 반영하도록 하겠습니다.

또한 광고 시청은 시스템 사정상 광고 로드에 시간이 걸리는 경우도 있으니
시간을 두고 다시 시도해 주시기 바랍니다.

또한 시간을 두고 시도하셔도 여전히 오류가 있는 경우
번거로우시겠지만 트러블슈팅으로
통신 상태가 좋은 전파가 안정적인 곳에서 아래 사항을 시도해 주시겠습니까?

■계정 연동 후 앱 재설치를 시도해 주세요.
※계정 데이터 소실 방지를 위해 계정 연동을 부탁드립니다.

■통신 상태를 확인해 주세요.
모바일 데이터 통신과 Wi-Fi를 전환해 주세요.
Wi-Fi에 연결된 경우 한번 연결 해제 후 재연결을 시도해 보세요.
Wi-Fi에 연결된 경우에도 저속이 아닌지 확인해 주세요.

■단말기 내에 많은 데이터가 저장되어 있으면 오류가 발생하기 쉽습니다.
불필요한 앱이나 이미지, 사운드 등의 데이터 정리를 시도해 보세요.

■모든 애플리케이션을 태스크에서 종료해 주세요.
또한 용량이 큰 대기 화면이나 라이브 배경화면을 설정한 경우 설정 해제를 시도해 보세요.

■단말기의 전원을 끄고 잠시 시간을 두었다가 재시작을 시도해 보세요.
앱 재시작 후 다시 시도하시면 개선될 수 있습니다.

또한 위의 방법을 시도하셔도 동일한 오류가 발생하는 경우
아래의 필요한 정보를 고객센터로 보내주시기 바랍니다.

・통신 환경(4G・5G・Wi-Fi 등)
・구체적인 상황(동영상 종료 후 화면이 검게 되었다가 보상은 획득하지 못하고 원래 화면으로 돌아감.
동영상 화면에서 'x(닫기)' 버튼이 표시되지 않아 원래 화면으로 돌아갈 수 없음. 등 가능한 한 구체적으로 기재해 주시면 감사하겠습니다.)
・오류 발생 빈도(반드시 발생. 가끔 발생. 등)
・다른 게임에서 유사한 오류를 확인한 적이 있는지
・오류가 확인되는 동영상이나 스크린샷

번거로우시겠지만 잘 부탁드립니다.","この度はご不便をおかけして誠に申し訳ございません。

お問い合わせいただきました「広告を再生できない・広告視聴が反映されない現象」に関しましては、
担当部署に報告し、問題が確認された場合は改善及び反映いたします。

また、広告視聴はシステムの都合上、広告ロードに時間を要する場合もございますので、
時間をおいてから再度お試しいただきますようお願い申し上げます。

なお、時間をおいてからお試しいただいてもなお不具合が残っている場合、
お手数をおかけしますが、トラブルシューティングとして、
通信状況の良い電波の安定した場所にて、下記のことを試していただけますでしょうか。

■アカウント連携後、アプリの再インストールをお試しください。
※アカウントデータの消失防止のため、アカウント連携をお願い申し上げます。

■通信状況をご確認ください。
モバイルデータ通信とWi-Fiを切り替えてください。
Wi-Fiに接続している場合は、一度切断後、再接続をお試しください。
Wi-Fiに接続している場合でも、低速になっていないかご確認ください。

■端末内にたくさんのデータが保存されていると、エラーが発生しやすくなります。
不要になったアプリや、画像、サウンド等のデータ整理をお試しください。

■すべてのアプリケーションをタスクより終了させてください。
また、容量の大きい待受画像やライブ壁紙を設定している場合は設定解除をお試しください。

■ご利用端末の電源を落とし、しばらくお時間を空けてから再起動をお試しください。
アプリ再起動後、再度お試しいただくことで改善される場合がございます。

また、上記の方法をお試しいただいても、同じ不具合が発生する場合、
下記の必要な情報/情報をサポートセンターまでお送りいただきますようお願い申し上げます。

・通信環境(4G・5G・Wi-Fi等)
・具体的な状況(動画終了後、画面が黒くなってから報酬は獲得できず、元の画面に戻る。
動画の画面で「x(閉じる)」ボタンが表示されず、元の画面に戻れない。等なるべく具体的にご記載いただければ幸いです。)
・不具合の発生頻度(必ず発生。たまに発生する。等)
・他のゲームで類似した不具合を確認したことはあるか
・不具合が確認できる動画やスクリーンショット

お手数をおかけいたしますが、よろしくお願い申し上げます。
",2024.12.03
27,Temp_common_ad_content_error_check,오류,"광고 내용 오류 
상세 확인","이번에는 불편을 끼쳐드려 진심으로 죄송합니다.

광고 시청 후 게임 화면으로 돌아갈 수 없는 현상에 대해 상세 확인이 필요하오니
번거로우시겠지만 해당 광고가 배포된 경우
광고의 상세 정보와 함께 다시 문의해 주시기 바랍니다.

광고 정보를 확인하는 방법은 아래를 참고해 주시기 바랍니다.

▶광고 정보의 확인 방법
1. 시청 후 표시되는 좌측 하단의 'ⓘ' 아이콘을 탭
2. 광고 정보의 스크린샷을 찍기

신속한 개선이 이루어지지 못해 대단히 죄송하지만
깊은 협조 부탁드립니다.","この度はご不便をおかけし、誠に申し訳ございません。

広告視聴後ゲーム画面に戻れない現象につきまして、詳細を確認いたしますので、
大変お手数をおかけしますが、該当広告が配信された場合、
広告の詳細情報とともに再度お問い合わせいただきますようお願い申し上げます。

広告の情報を確認する方法につきましては、下記をご参照くださいませ。

▶広告情報の確認方法
1. 視聴後に表示される左下の「ⓘ」アイコンをタップ
2. 広告の情報のスクリーンショットを取る

早速の改善ができず、大変申し訳ございませんが、
何卒ご協力のほどよろしくお願い申し上げます。",2024.12.03
28,Temp_common_compensation_error_fix,오류,"보상 지급
(오류 수정)","이번에는 불편을 끼쳐드려 진심으로 죄송합니다.

해당 현상에 대해서는 오늘 수정(작업)을 예정하고 있습니다.
또한 불편을 끼쳐드린 사과의 의미로 '쿠폰명'을 준비했습니다.
꼭 사용해 주시기 바랍니다.

'쿠폰 코드: '

앞으로는 대책을 철저히 하여 재발 방지에 힘쓰겠습니다.

또한 게임 플레이 중 불편한 점이 있으시다면
언제든지 고객센터로 문의해 주시기 바랍니다.","この度はご不便をおかけし、誠に申し訳ございません。

該当の現象につきまして、本日修正(作業)を予定しております。
なお、ご迷惑をおかけしたお詫びとして、「クーポン名」をご用意いたしました。
是非お使いくださいませ。

「クーポンコード： 」

今後は対策を徹底し、再発防止に取り組んでまいります。

また、ゲームプレイ中、/にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。",2024.12.03
